Clarky
     1.000000    0.000000
     0.990000    0.002376
     0.980000    0.004743
     0.970000    0.007109
     0.960000    0.009445
     0.940000    0.014058
     0.920000    0.018570
     0.900000    0.022963
     0.880000    0.027265
     0.860000    0.031458
     0.840000    0.035550
     0.820000    0.039533
     0.800000    0.043405
     0.780000    0.047167
     0.760000    0.050810
     0.740000    0.054332
     0.720000    0.057734
     0.700000    0.061017
     0.680000    0.064179
     0.660000    0.067211
     0.640000    0.070103
     0.620000    0.072845
     0.600000    0.075407
     0.580000    0.077810
     0.560000    0.080022
     0.540000    0.082054
     0.520000    0.083906
     0.500000    0.085588
     0.480000    0.087080
     0.460000    0.088372
     0.440000    0.089464
     0.420000    0.090325
     0.400000    0.090937
     0.380000    0.091299
     0.360000    0.091421
     0.340000    0.091313
     0.320000    0.091005
     0.300000    0.090506
     0.280000    0.089838
     0.260000    0.088930
     0.240000    0.087692
     0.220000    0.086013
     0.200000    0.083805
     0.180000    0.080966
     0.160000    0.077478
     0.140000    0.073360
     0.120000    0.068551
     0.100000    0.062943
     0.080000    0.056384
     0.060000    0.048726
     0.050000    0.044251
     0.040000    0.039107
     0.030000    0.033003
     0.020000    0.025359
     0.012000    0.017853
     0.008000    0.013725
     0.004000    0.008918
     0.002000    0.005799
     0.001000    0.003729
     0.000500    0.002340
     0.000000    0.000000
     0.000500   -0.004670
     0.001000   -0.005939
     0.002000   -0.007809
     0.004000   -0.010508
     0.008000   -0.014285
     0.012000   -0.016963
     0.020000   -0.020259
     0.030000   -0.022593
     0.040000   -0.024497
     0.050000   -0.026021
     0.060000   -0.027096
     0.080000   -0.028414
     0.100000   -0.029323
     0.120000   -0.029891
     0.140000   -0.030160
     0.160000   -0.030158
     0.180000   -0.029947
     0.200000   -0.029555
     0.220000   -0.029013
     0.240000   -0.028382
     0.260000   -0.027670
     0.280000   -0.026908
     0.300000   -0.026137
     0.320000   -0.025375
     0.340000   -0.024623
     0.360000   -0.023881
     0.380000   -0.023139
     0.400000   -0.022397
     0.420000   -0.021656
     0.440000   -0.020914
     0.460000   -0.020172
     0.480000   -0.019420
     0.500000   -0.018668
     0.520000   -0.017926
     0.540000   -0.017174
     0.560000   -0.016432
     0.580000   -0.015680
     0.600000   -0.014937
     0.620000   -0.014195
     0.640000   -0.013443
     0.660000   -0.012701
     0.680000   -0.011949
     0.700000   -0.011207
     0.720000   -0.010454
     0.740000   -0.009712
     0.760000   -0.008960
     0.780000   -0.008217
     0.800000   -0.007465
     0.820000   -0.006723
     0.840000   -0.005980
     0.860000   -0.005228
     0.880000   -0.004485
     0.900000   -0.003733
     0.920000   -0.002990
     0.940000   -0.002238
     0.960000   -0.001495
     0.970000   -0.001119
     0.980000   -0.000743
     0.990000   -0.000376
     1.000000    0.000000
